registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
6164;12;56;6.REDES DE ACUEDUCTO;IDU;1 110.00;1 135.00;1001082;6.04.;RELLENO PARA REDES EN ARENA DE PEÑA (Suministro, Extendido, Humedecimiento y Compactación);M3;25;0.8;0.418;8.36;83639;699222;ORIENTAL;CLL181;CLL182;91062397;TRAMO 1;recubrimiento con arena de peña para tuberias de acantarillado;2
6165;12;56;6.REDES DE ACUEDUCTO;IDU;1110;1135;1001082;NP-126;"SEÑALIZACIÓN PREVENTIVA PARA REDES DE SERVICIOS PÚBLICOS CON CINTA DE 500 MT X 4"" PELIGRO CALIBRE 3.5  (INCLUYE SUMINISTRO Y COLOCACIÓN)";m;25;0;0;25;245;6125;ORIENTAL;CLL181;CLL182;91062397;TRAMO 1;instalación de cinta señalización tuberia acueducto;2
6166;12;56;6.REDES DE ACUEDUCTO;IDU;1110;1135;1001082;6.05.;RELLENO PARA REDES EN SUBBASE GRANULAR B-200 (Suministro, Extendido, Humedecimiento y Compactación);M3;25;0.8;0.62;12.4;59152;733485;ORIENTAL;CLL181;CLL182;91062397;TRAMO 1;relleno con material b-200 para tuberia acueducto;2
6168;12;56;7.SANITARIO REDES DE ALCANTARILLADO;IDU;1 071.00;1 072.00;1001082;8.16.;DEMOLICION DE POZOS, CAJAS Y CAMARAS DE EMPRESAS DE SERVICIOS PÚBLICOS (INCLUYE MARTILLO NEUMÁTICO DE 60 LB, COMPRESOR Y CARGUE).;M3;1;0.3;1.6;0.48;185047;88823;ORIENTAL;CLL181;CLL182;91062400;TRAMO 1;demolicion cajas (2und) existente con medio mecanico;2
6170;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;2286;2286;1000131;7.01.;EXCAVACION MANUAL PARA REDES PROFUNDIDAD 0m - 2m (Incluye Cargue);M3;3.5;3.5;0.05;0.61;23261;14189;OCCIDENTAL;PZ 59;PZ 59;91062379;TRAMO 2;excavación manualpara pz 59;2
6171;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;2286;2286;1000131;NP-065;ENTIBADO CONTINUO EN CAJONES DE ACERO (EC 1B) DE ACUERDO A NORMA NS-072. INCLUYE SUMINISTRO E INSTALACION;M2;3.5;2.4;2;16.8;150641;2530769;OCCIDENTAL;PZ 59;PZ 59;91062379;TRAMO 2;entibado para  pz 59;2
6172;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;2286;2286;1000131;NP-177;"RELLENO EN TRITURADO DE 3/4"" (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO A MAQUINA Y COLOCACION)";M3;2;2;0.15;0.6;93985;56391;OCCIDENTAL;PZ 59;PZ 59;91062379;TRAMO 2;triturado para fondo de placa de pz 59;2
6173;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;2286;2286;1000131;NP-062;PLACA FONDO D=1.95 M POZO INSPEC. (PREFABRICADA. INCL. SUMIN, INST.);UN;1;0;0;1;1227520;1227520;OCCIDENTAL;PZ 59;PZ 59;91062379;TRAMO 2;placa de fondo para  pz 59;2
6174;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;2285.5;2285.5;1000131;NP-295;EXCAVACIÓN MECÁNICA PARA ZANJA DE REDES DE ALCANTARILLADO (NO INCLUYE CARGUE, INCLUYE ACOPIO DE MATERIAL),. SEGÚN NORMA EG-104;M3;18.5;1.55;3.55;101.8;11386;1159095;OCCIDENTAL;PZ 59;PZ 60;91062379;TRAMO 2;"excavación mecánica para tubería de 24"" pvc";2
6175;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;2285.5;2285.5;1000131;NP-065;ENTIBADO CONTINUO EN CAJONES DE ACERO (EC 1B) DE ACUERDO A NORMA NS-072. INCLUYE SUMINISTRO E INSTALACION;M2;104.92;0;0;104.92;150641;15805254;OCCIDENTAL;PZ 59;PZ 60;91062379;TRAMO 2;"entibado para tubería de 24"" pvc entre pz59 y pz60";2
