registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
48819;71;269;9.SEÑALIZACION, DEMARCACION Y SEMAFORIZACIÓN;IDU;1929;1934;1000396;9.40.;RELLENO PARA REDES EN ARENA DE PEÑA (Suministro, Extendido, Humedecimiento y Compactación);M3;3;0.5;0.24;0.36;83639;30110;CENTRAL;Cj semaforizacion;Pedestal;91042452;TRAMO 2;Instalación de arena de peña para cama y recubrimiento de tubería 2∅3-ABS:1,929.00-1,934.00;2
48817;71;269;8.ETB REDES SECAS;IDU;1929;1934;1000396;8.07.;RELLENO PARA REDES EN SUBBASE GRANULAR B-200 (Suministro, Extendido, Humedecimiento y Compactación);M3;5.25;0.5;0.57;1.5;59152;88728;CENTRAL;Cj semaforizacion;Pedestal;91042452;TRAMO 2;Instalación y compactación manual de material reciclado sobre tubería -ABS:1,929.00-1,934.00;2
48815;71;269;9.SEÑALIZACION, DEMARCACION Y SEMAFORIZACIÓN;IDU;1929;1934;1000396;9.40.;RELLENO PARA REDES EN ARENA DE PEÑA (Suministro, Extendido, Humedecimiento y Compactación);M3;5.25;0.5;0.24;0.63;83639;52693;CENTRAL;Cj semaforizacion;Pedestal;91042452;TRAMO 2;Instalación de arena de peña para cama y recubrimiento de tubería 1∅3 entre caja y pedestal cruce 189-ABS:1,929.00-1,934.00;2
48769;71;266;4.ESPACIO PUBLICO;IDU;897;935;1001222;NP-200;SARDINEL PREFABRICADO A81 (Suministro e Instalación. Incluye 3cm Mortero de Nivelación 2000 PSI);m;35.07;0;0;35.07;45614;1599683;OCCIDENTAL;KR 9 CL 180 A CL 181;KR 9 CL 180 A CL 181;35001057;TRAMO 1;Instalación de bordillo A81 para confinamiento ciclo ruta hombro izquierdo -ABS:897.13-932.20;2
48768;71;266;4.ESPACIO PUBLICO;IDU;897;935;1001222;NP-200;SARDINEL PREFABRICADO A81 (Suministro e Instalación. Incluye 3cm Mortero de Nivelación 2000 PSI);m;35.07;0;0;35.07;45614;1599683;OCCIDENTAL;KR 9 CL 180 A CL 181;KR 9 CL 180 A CL 181;35001057;TRAMO 1;Instalación de bordillo A81 para confinamiento ciclo ruta hombro derecho -ABS:897.13-932.20;2
48767;71;266;4.ESPACIO PUBLICO;IDU;897;935;1001222;1.03.;EXCAVACION MANUAL EN MATERIAL COMUN. Incluye cargue.;M3;35.07;0.25;0.25;2.19;23261;50942;OCCIDENTAL;KR 9 CL 180 A CL 181;KR 9 CL 180 A CL 181;35001057;TRAMO 1;Excavación manual para instalación bordillo A81 para confinamiento ciclo ruta hombro derecho -ABS:897.13-932.20;2
48766;71;266;4.ESPACIO PUBLICO;IDU;897;935;1001222;1.03.;EXCAVACION MANUAL EN MATERIAL COMUN. Incluye cargue.;M3;35.07;0.25;0.25;2.19;23261;50942;OCCIDENTAL;KR 9 CL 180 A CL 181;KR 9 CL 180 A CL 181;35001057;TRAMO 1;Excavación manual para instalación de bordillo A81 para confinamiento ciclo ruta Hombro izquierdo-ABS:897.13-932.20;2
48758;71;269;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;880;880;1001300;7.49.;ACERO DE REFUERZO (Incluye Suministro, Figurado y Fijación);KG;303;0;0;303;2669;808707;OCCIDENTAL;Cámara Pozo#12A;Cámara Pozo#12A;91062408;TRAMO 1;"Instalación de acero para estructura anillo de cierre cámara 12A-ABS:880.00-880.00
-Movido desde Reporte 30915_19/01/26";2
48757;71;269;5.ESTRUCTURAS PARA REDES;IDU;880;880;1001300;5.09.;CONCRETO 4000 PSI (280 Kg/Cm2) PARA CÁMARAS ESPECIALES DE INTERCONEXIÓN DE ALCANTARILLADO (PREMEZCLADO, INCLUYE SUMINISTRO, FORMALETA Y COLOACIÓN. NO INCLUYE REFUERZO NI CURADO).;M3;1.954;1;1;1.95;622383;1213647;OCCIDENTAL;Cámara Pozo#12A;Cámara Pozo#12A;91062408;TRAMO 1;"Instalación de concreto de 4000 PSI para fundida anillo de cierre -ABS:880.00-880.00
-Movido desde Reporte 30915_19/01/26";2
48750;71;269;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;880;880;1001300;7.01.;EXCAVACION MANUAL PARA REDES PROFUNDIDAD 0m - 2m (Incluye Cargue);M3;4.694;1;0.46;2.16;23261;50244;OCCIDENTAL;Cámara Pozo#12A;Cámara Pozo#12A;91062408;TRAMO 1;"Excavación manual para instalación de concreto para anillo de cierre -ABS:880.00-880.00
-Movido desde Reporte 30915_19/01/26";2
