CAPA,CIV,TRAMO,INFRAESTRUCTURA,COSTADO,UBICACION,ABS_INICIO,ABS_FINAL,CALZADA
120369,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9970,10000,UNICA
120370,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,10000,10500,UNICA
120371,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,10000,10500,UNICA
120372,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,10000,10500,UNICA
120373,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,10500,11000,UNICA
120374,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,10500,11000,UNICA
120375,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,10500,11000,UNICA
120376,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,11000,11370,UNICA
120377,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,11000,11370,UNICA
120378,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,11000,11370,UNICA
120379,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,11370,11500,UNICA
120380,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,11370,11500,UNICA
120381,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,11370,11500,UNICA
120382,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,11500,12000,UNICA
120383,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,11500,12000,UNICA
120384,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,11500,12000,UNICA
120385,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,12000,12500,UNICA
120386,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,12000,12500,UNICA
120387,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,12000,12500,UNICA
120388,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,12500,13000,UNICA
120389,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,12500,13000,UNICA
120390,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,12500,13000,UNICA
120391,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,13000,13500,UNICA
120392,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,13000,13500,UNICA
120393,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,13000,13500,UNICA
120394,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,13500,14000,UNICA
120395,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,13500,14000,UNICA
120396,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,13500,14000,UNICA
120397,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,14000,14500,UNICA
120398,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,14000,14500,UNICA
120399,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,14000,14500,UNICA
120400,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,14500,15000,UNICA
120401,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,14500,15000,UNICA
120402,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,14500,15000,UNICA
120403,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,15000,15500,UNICA
120404,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,15000,15500,UNICA
120405,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,15000,15500,UNICA
